baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000008869	29.18266325	-0.77500676	0.403258918	-1.921858946	0.054623509	0.155240171
ENSG00000008952	216.9437917	-0.380682675	0.144885564	-2.627471388	0.008602208	0.047848399
ENSG00000008988	683.2132856	-0.970583825	0.155188342	-6.254231562	3.99E-10	1.61E-07
ENSG00000009307	1652.202141	0.598609163	0.187518836	3.192261512	0.001411635	0.0142687
ENSG00000009335	16.63600591	-0.072091567	0.380882172	-0.189275248	0.849877094	0.903906133
ENSG00000009413	13.21726352	-0.718563433	0.396841072	-1.810708328	0.070186013	0.182356813
ENSG00000009694	0.474644519	-0.96933382	1.191967035	-0.813222004	0.416090786	NA
ENSG00000009765	0.085909156	-0.930977853	3.737997709	-0.249057898	0.803315996	NA
ENSG00000009780	1.60981597	-0.66831719	0.78285609	-0.853690989	0.393276228	0.553798104
ENSG00000009790	146.9544414	-1.701954187	0.355401742	-4.788817795	1.68E-06	8.97E-05
ENSG00000009830	0.499785982	-0.763725768	1.386159229	-0.550965395	0.581657397	NA
ENSG00000009844	63.34716927	-0.172283819	0.240892405	-0.715189919	0.474491697	0.625310744
ENSG00000009954	12.73999261	-0.901474466	0.434175009	-2.07629285	0.037866874	0.123852475
ENSG00000010017	34.56333445	0.096579708	0.226553198	0.426300351	0.669889002	0.782061129
ENSG00000010030	1.035476098	-0.956282884	1.174925214	-0.813909577	0.415696754	0.573963916
ENSG00000010072	2.967683115	-0.785193888	0.553029791	-1.41980396	0.155664762	0.303693041
ENSG00000010165	3.905743699	-0.638309277	0.608204668	-1.049497497	0.293949207	0.459158078
ENSG00000010219	6.099109968	-0.515754053	0.386703177	-1.333720753	0.182295391	0.336556631
ENSG00000010244	107.6804957	-0.174803245	0.165765531	-1.054521074	0.291644418	0.457398596
ENSG00000010256	133.5512468	-0.799537453	0.274298881	-2.914840376	0.003558705	0.026757801
ENSG00000010270	155.6684919	0.110602834	0.168105703	0.657936241	0.510579102	0.656154195
ENSG00000010278	2154.185866	0.362475005	0.131273701	2.761215709	0.005758663	0.036812622
ENSG00000010292	21.19631544	-0.411120815	0.433840949	-0.947630269	0.343317711	0.50694645
ENSG00000010295	1.701737556	-1.339177801	0.747020596	-1.792691939	0.073022196	0.187108376
ENSG00000010310	0.111877298	0.156935723	3.157379656	0.049704419	0.960357935	NA
ENSG00000010318	8.488691096	-0.491244978	0.379004287	-1.296146231	0.19492511	0.351490497
ENSG00000010322	9.502788375	-0.219582477	0.44463505	-0.49384878	0.62141298	0.745415058
ENSG00000010327	18.64658762	-0.747875648	0.520873336	-1.435810967	0.151056138	0.297844232
ENSG00000010361	1.245686896	0.198268894	0.702522633	0.282224209	0.777771596	0.85781582
ENSG00000010404	94.41652758	0.333862193	0.120395923	2.773035709	0.005553603	0.035865766
ENSG00000010438	0.068337569	-0.842148722	5.053039137	-0.166661824	0.867636145	NA
ENSG00000010539	1.27309847	-1.795600367	0.858313175	-2.092010725	0.036437556	0.120893277
ENSG00000010610	21.1952745	-1.139822047	0.455617212	-2.501709805	0.012359519	0.059934354
ENSG00000010626	4.036415644	0.138351462	0.548017792	0.252457974	0.800687094	0.872472833
ENSG00000010671	393.3705627	0.064694024	0.155935664	0.414876382	0.678232401	0.787946465
ENSG00000010704	6.371697315	0.730175727	0.272870287	2.675907792	0.007452715	0.043699669
ENSG00000010803	4.533803149	-0.723276822	0.468183622	-1.544857164	0.122380817	0.259903901
ENSG00000010810	177.2411164	-0.301360786	0.222724417	-1.353065773	0.176034619	0.329206136
ENSG00000010818	4.314047692	-1.250327042	0.447579845	-2.793528473	0.005213644	0.034497977
ENSG00000010932	0.121385476	-1.168581568	2.369495298	-0.493177416	0.621887234	NA
ENSG00000011007	19.19099762	-0.671858266	0.299736932	-2.241493106	0.024994152	0.09435958
ENSG00000011009	53.06929748	-0.531420816	0.197291687	-2.693579366	0.007068931	0.042168339
ENSG00000011021	2.327429174	-0.542440336	0.747165093	-0.725997964	0.467840019	0.619758158
ENSG00000011028	0.158990908	-0.486348477	2.777023309	-0.17513302	0.860975113	NA
ENSG00000011105	86.33847664	0.136939942	0.149186409	0.917911642	0.358665126	0.520480657
ENSG00000011114	3.16937685	-0.548450654	0.470209593	-1.16639614	0.243454319	0.406232038
ENSG00000011132	4.570907345	-1.326473916	0.571914438	-2.319357282	0.020375672	0.082935289
ENSG00000011143	3.235919717	-0.395867484	0.874347916	-0.452757394	0.650723446	0.768045481
ENSG00000011198	60.37892581	0.009823672	0.204172489	0.048114573	0.961624932	0.975474467
ENSG00000011201	0.062642431	-0.434628218	5.053447472	-0.08600628	0.931461425	NA
ENSG00000011243	7.640699698	-1.175365767	0.517245543	-2.272355524	0.023065046	0.089832283
ENSG00000011258	132.7555691	-0.238310856	0.181224216	-1.315005586	0.188508025	0.34395066
ENSG00000011260	45.77375386	-0.469284181	0.306437868	-1.531417066	0.125666349	0.264356055
ENSG00000011275	71.46156518	-0.2468941	0.18637025	-1.3247506	0.185253885	0.339709601
ENSG00000011295	6.927424936	-0.32231965	0.526430746	-0.612273604	0.540356751	0.68094968
ENSG00000011304	42.49543809	-0.226074686	0.354150853	-0.638357028	0.523241297	0.667729453
ENSG00000011376	2.14771174	-0.876757576	0.936386655	-0.936320025	0.349108441	0.51207827
ENSG00000011405	24.21706841	0.351631602	0.375972981	0.935257639	0.349655541	0.512415537
ENSG00000011422	23.81224383	-0.912839661	0.560076699	-1.629847597	0.103133711	0.232518194
ENSG00000011426	3.393607522	0.729300169	0.589751831	1.236622137	0.216227398	0.376097996
ENSG00000011451	0.15447868	-1.239184537	1.937935978	-0.639435229	0.522539837	NA
ENSG00000011454	97.27547157	0.863778954	0.20785102	4.155759986	3.24E-05	0.000898256
ENSG00000011465	0.165238633	-1.912410898	4.544265676	-0.420840469	0.673871578	NA
ENSG00000011478	0.388697201	-1.062627253	1.331894502	-0.797831398	0.424968338	NA
ENSG00000011485	9.364148136	-1.179421451	0.492408	-2.395211799	0.016610767	0.073019972
ENSG00000011523	18.51300437	-0.398470631	0.314020849	-1.268930495	0.204465855	0.362948674
ENSG00000011566	4.812219817	-0.451199512	0.505793368	-0.892062927	0.372359205	0.533793995
ENSG00000011590	0.36050884	0.027364213	1.200117409	0.02280128	0.981808787	NA
ENSG00000011600	163.2662915	-0.726087981	0.256108717	-2.835077188	0.004581461	0.031771321
ENSG00000011638	55.72152973	-0.157686283	0.189667025	-0.831384807	0.405756279	0.565043165
ENSG00000012048	8.605279027	-0.415686629	0.463660531	-0.896532271	0.369968553	0.531213597
ENSG00000012061	75.90405499	-0.468372242	0.167054946	-2.803701731	0.005051962	0.033830204
ENSG00000012124	21.47479987	-0.604334409	0.360490738	-1.676421459	0.093655668	0.218741925
ENSG00000012171	0.355907855	-1.457564334	0.966877324	-1.507496657	0.1316834	NA
ENSG00000012174	1.490157847	-1.244037166	1.038845707	-1.197518705	0.231104441	0.39333752
ENSG00000012211	0.462841363	-0.977326562	1.14745799	-0.851731889	0.394362917	NA
ENSG00000012223	67.13013534	2.938556798	0.603174485	4.871818801	1.11E-06	6.65E-05
