"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000004766"	11.9260428582777	-1.93093425025283	0.601122871109856	-3.21221224986456	0.00131717023617215	0.00346080515246681
"ENSG00000004776"	0.507088662638636	0.961695927969153	0.673127190777484	1.4286986785638	0.153090857792057	0.222899641968551
"ENSG00000004777"	0.0763534521632519	-1.12682876682453	4.02058743207858	-0.280264709040782	0.779274424309619	NA
"ENSG00000004779"	39.3872198940075	-2.27388606631958	0.321339405847582	-7.07627519358188	1.48080661650976e-12	3.0966609988044e-11
"ENSG00000004799"	6.32386161561469	-0.0551471912529822	0.737572989531661	-0.0747684527981416	0.940398942556132	0.955584939487172
"ENSG00000004809"	0.694252998787806	-2.54659153777163	1.58333829109955	-1.60836856664608	0.107754481742331	0.165547883265448
"ENSG00000004838"	0.224747576655614	-2.32651580875355	2.23815794168632	-1.03947794095383	0.298582512012308	0.388441952047731
"ENSG00000004846"	0.41152756069343	-0.311013956350521	1.6163188786029	-0.19242116173224	0.847412317456155	0.884845366484563
"ENSG00000004864"	6.20148155173891	-2.25740107523557	0.53696201540405	-4.20402376793252	2.62211385458766e-05	0.000103539687765251
"ENSG00000004866"	223.681859805045	0.343393249442295	0.141050610540902	2.43453926307335	0.014910762083013	0.0297977395977381
"ENSG00000004897"	185.838971974939	-0.123258079799819	0.132784782859091	-0.928254557079917	0.353275540352108	0.446036667117947
"ENSG00000004939"	12.2965531378545	-0.150395191007252	0.598669493891263	-0.251215725106862	0.801647327448642	0.848306981461241
"ENSG00000004961"	9.1989707116799	-1.11878159667365	0.522673786487879	-2.14049685596695	0.0323146346168908	0.0586397770100078
"ENSG00000004975"	1.30419696419205	-0.955912060663576	0.937424820390556	-1.01972130444052	0.30786065477631	0.398506367506696
"ENSG00000005001"	0.0350303109028524	-0.730468638822578	4.92002334003963	-0.148468531211621	0.881973019145218	NA
"ENSG00000005007"	20.0420510269357	1.40453389025513	0.515637310651768	2.72387948125746	0.00645200458810653	0.0141584514695376
"ENSG00000005020"	2398.03824284102	0.578526054665634	0.098683565157977	5.86243569270632	4.56126283574315e-09	4.43917818780906e-08
"ENSG00000005022"	106.014329747333	-0.702920324390218	0.14860199103512	-4.73022144248453	2.24275066025776e-06	1.15975035080721e-05
"ENSG00000005059"	23.0981827546233	-2.64493145434332	0.417431744029188	-6.33620104885549	2.35499452213540e-10	3.09087423900456e-09
"ENSG00000005075"	27.6895632016555	-0.667218480025066	0.152208320149057	-4.38358743708402	1.1674076190676e-05	5.05484587267979e-05
"ENSG00000005100"	0.901197712949942	-1.59716512719184	0.768604952567262	-2.078005250756	0.0377088755313785	0.0672097793194422
"ENSG00000005102"	0.299265518440935	-0.595898601234285	1.18231891221487	-0.504008347559942	0.614255511013411	0.693913861568638
"ENSG00000005108"	0.0433673860624302	-1.72762865356207	4.91914932426524	-0.351204759131828	0.725434739995662	NA
"ENSG00000005156"	6.80995715728337	-1.2099786862081	0.714269884970271	-1.69400770166653	0.0902638195599544	0.142293033328269
"ENSG00000005175"	119.527389242093	-0.319880127357217	0.206900492016902	-1.54605783794407	0.122090600073018	0.184326310211028
"ENSG00000005187"	19.5817542082338	0.164668200032471	0.425574344931862	0.386931688889366	0.698806780545825	0.764124116694598
"ENSG00000005189"	18.770426263222	0.487208052633484	0.464805782571079	1.04819705542062	0.294547826936145	0.384208575769712
"ENSG00000005194"	32.180899047485	-1.25325223060133	0.271725677512662	-4.61219654348983	3.98435977005893e-06	1.93731777465866e-05
"ENSG00000005206"	3.59222335216196	-1.01616068068917	0.561279179893423	-1.81043715336478	0.0702280220824886	0.114778507153555
"ENSG00000005238"	24.0989550393029	0.118003564969069	0.248501130393827	0.47486128043786	0.634885850954229	0.711214592098865
"ENSG00000005243"	0.982204710736275	-0.0143254222697394	1.02997317187241	-0.0139085392328199	0.988902949066692	0.991709470316408
"ENSG00000005249"	2462.39463736119	1.2339915757902	0.221288233451528	5.57639941601551	2.45547783092373e-08	2.02507121412088e-07
"ENSG00000005302"	45.7780224527845	-1.75120578386929	0.323273500430581	-5.41710279851825	6.05725181025943e-08	4.53175826260506e-07
"ENSG00000005339"	38.4789670994268	-2.34662609002278	0.32448873363138	-7.23176445530636	4.76758593050205e-13	1.091397038343e-11
"ENSG00000005379"	0.701154896236487	-2.47857207534989	0.949539938928538	-2.61028733361833	0.0090466201420973	0.0191108049019233
"ENSG00000005381"	4.81165320812135	0.981429608623198	0.909833715215187	1.07869118522507	0.280725416499776	0.369607047366333
"ENSG00000005436"	4.34020899930711	-2.45596980783699	0.747858958450411	-3.28400132148693	0.0010234444248796	0.00275570357985367
"ENSG00000005448"	7.28483861733106	-2.67450336335984	0.623007886125222	-4.29288845763065	1.76363618472926e-05	7.32509652252983e-05
"ENSG00000005469"	5.21970510056087	-2.00679110124631	0.538504466244495	-3.72660066357773	0.000194079581402835	0.000623016704242363
"ENSG00000005471"	1.90077006859388	-3.14050698624517	0.971438291652912	-3.23284249059358	0.00122565119861219	0.00324011110072406
"ENSG00000005483"	399.143865151154	-1.22549786638246	0.123025965945811	-9.9612944061114	2.25112455967158e-23	2.52217459811659e-21
